Тип изделия,Номер ТУ,"tпер.макс, °С","tсниж, °С",Примечание,СВЧ Диапазон,Группа изделия,Подгруппа изделия
2С182К-1,СМ3.362.836ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С182К-1Н,"СМ3.362.836ТУ, РМ 11091.926",125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С191К-1,СМ3.362.836ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С191К-1Н,"СМ3.362.836ТУ, РМ 11091.926",125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С204А – Л,аА0.339.453ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С204А-1 – В-1,аА0.339.454ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С210К-1,СМ3.362.836ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С210К-1Н,"СМ3.362.836ТУ, РМ 11091.926",125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С211К-1,СМ3.362.836ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С211К-1Н,"СМ3.362.836ТУ, РМ 11091.926",125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С212К-1,СМ3.362.836ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С212К-1Н,"СМ3.362.836ТУ, РМ 11091.926",125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С175Ж, 2С182Ж",СМ3.362.825ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С191Ж, 2С210Ж",СМ3.362.825ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С211Ж, 2С212Ж",СМ3.362.825ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С213Ж, 2С215Ж",СМ3.362.825ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С216Ж, 2С218Ж",СМ3.362.825ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С220Ж, 2С222Ж",СМ3.362.825ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С224Ж,СМ3.362.825ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С175Ц,аА0.339.048ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С175ЦА – 2С175ЦЕ,аА0.339.048ТУ/Д1,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С182Ц, 2С191Ц",аА0.339.048ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С210Ц, 2С211Ц",аА0.339.048ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С212Ц,аА0.339.048ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С190Б – Ф,аА0.339.212ТУ,150,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С191С – Ф,ТТ3.362.125ТУ,150,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С191С1 – Ф1,ТТ3.362.125ТУ/Д1,150,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С411А, Б",аА0.339.550ТУ,160,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С483А – Д,аА0.339.678ТУ,85,–,- 60°С ≤ t ≤+85°С Iст.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С516А – В,аА0.339.550ТУ,160,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С433А, А1, 2С439А, А1",СМ3.362.819ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С447А, А1, 2С456А, А1",СМ3.362.819ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С468А, А1",СМ3.362.823ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С482А, А1, 2С510А, А1",СМ3.362.823ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С512А, А1, 2С515А, А1",СМ3.362.823ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С518А, А1, 2С522А, А1",СМ3.362.823ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С524А, А1, 2С527А, А1",СМ3.362.823ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С530А, А1, 2С536А, А1",СМ3.362.823ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С551А, А1, 2С591А, А1",СМ3.362.827ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С600А, А1",СМ3.362.827ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С920А, 2С930А",УЖ3.362.015ТУ,140,75,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
"2С950А, 2С980А",УЖ3.362.015ТУ,140,75,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
Д815А – Ж,УЖ3.362.027ТУ,140,75,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
Д816А – Д,УЖ3.362.027ТУ,140,75,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
Д817А – Г,УЖ3.362.027ТУ,140,75,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
Д818А – И,СМ3.362.025ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С401А,аА0.339.301ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С401БС,аА0.339.301ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С408А,аА0.339.438ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С408А2,аА0.339.438ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С414А,аА0.339.649ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С416А,АЕЯР.432120.049ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
"2С501А, Б",аА0.339.301ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С501АС,аА0.339.301ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С503АС – ВС,аА0.339.387ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С514А – В,аА0.339.500ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С514А1 – В1,аА0.339.500ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С517А – Г,аА0.339.665ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С517А1 – Г1,аА0.339.665ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С521А,АЕЯР.432120.049ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С526А – Д,АЕЯР.432120.075ТУ,-,–,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С602А,аА0.339.500ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С602А1,аА0.339.500ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
"2С603А, Б",аА0.339.664ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
"2С603А1, Б1",аА0.339.664ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
"2С604А, Б",аА0.339.665ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
"2С604А1, Б1",аА0.339.665ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2С801А,аА0.339.380ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
"2С802А, Б",аА0.339.380ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
"2С802А1, Б1",аА0.339.380ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
"2С803А, Б",аА0.339.380ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
"2С803А1, Б1",аА0.339.380ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
"2С901А, Б",аА0.339.380ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
"2С901А1, Б1",аА0.339.380ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Ограничители напряжения,
2Г401А – Г,ТТ3.369.008ТУ,70,–,- 60°С ≤ t ≤+70°С Iраб постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Генераторы шума,
2Т117А – Г,ТТ3.365.000ТУ,130,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т118А – В,ЖК3.365.209ТУ,150,110,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
"2Т118А-1, Б-1",аА0.339.115ТУ,150,110,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т118В-1,аА0.339.115ТУ/Д1,150,110,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т201А – Д,СБ0.336.046ТУ,150,75,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т202А-1 – Д-1,ЮФ3.365.034ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т203А – Д,ЩЫ3.365.007ТУ,150,75,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т208А – М,ЮФ3.365.035ТУ,150,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т211А-1 – В-1,аА0.339.000ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т211А-5 – В-5,аА0.339.000ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т214А-1 – Е-1,аА0.339.370ТУ,135,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т214А-5 – Е-5,аА0.339.517ТУ,125,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т214А9 – Е9,аА0.339.517ТУ,125,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т215А-1 – Е-1,аА0.339.371ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т215А-5 – Е-5,аА0.339.518ТУ,125,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т215А9 – Е9,аА0.339.518ТУ,125,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т301Г – Ж,ЩБ3.365.007ТУ,150,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т312А – В,ЖК3.365.143ТУ,150,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
"2Т312Б1, В1",ЖК3.365.143ТУ/Д3,150,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т313А,ЩЫ0.336.049ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т313Б,ЩЫ0.336.049ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т313А/ПК,АЕЯР.432140.256ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т313Б/ПК,АЕЯР.432140.256ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т317А-1 – В-1,ГЕ3.365.002ТУ,100,40,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т321А – Е,аА0.339.248ТУ,150,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т364А-2 – В-2,ЩТ3.365.060ТУ,125,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т364А-2Н – В-2Н,"ЩТ3.365.060ТУ, РМ11.091.926",125,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
"2Т378А1-2, Б1-2",ХА3.365.012ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
"2Т378, Б2-1",ХА3.365.012ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
"2Т378А-2, Б-2",ХА3.365.012ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т381А-1 – Д-1,ХА3.365.018ТУ,90,40,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т385А-2,Я53.365.022-02ТУ,150,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т385А-2Н,"Я53.365.022-02ТУ, РМ 11091.926",150,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т385АМ-2,Я53.365.022-02ТУ,135,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т385АМ-2Н,"Я53.365.022-02ТУ, РМ 11091.926",150,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т385А9,АЕЯР.432150.061ТУ,150,45,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т388А-5,ЩЫ0.336.030ТУ,135,80,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т388АМ-2,ЩЫ0.336.030ТУ,135,80,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т388АМ-2Н,"ЩЫ0.336.030ТУ, РМ 11091.926",135,80,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т3108А – В,аА0.339.026ТУ,175,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т3129А-5 – Д-5,аА0.339.568ТУ,125,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т3129А9 – Д9,аА0.339.568ТУ,125,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т3130А-5 – Е-5,аА0.339.569ТУ,125,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т3130А9 – Е9,аА0.339.569ТУ,125,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т3152А – Е,аА0.339.457ТУ,150,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т3152А-5,аА0.339.457ТУ,150,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т3162А,аА0.339.596ТУ,175,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
"2Т3175А, А-5",АЕЯР.432143.015ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Малой мощности
2Т504А – В,аА0.339.110ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т504А-5, Б-5",аА0.339.110ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т505А, Б",аА0.339.174ТУ,175,55,С теплоотводом,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т505А, Б",аА0.339.174ТУ,175,25,Без теплоотвода,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т505А-5,аА0.339.174ТУ,175,25,Без теплоотвода,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т505В,аА0.339.174ТУ/Д1,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т506А, Б",аА0.339.318ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т506А-5,аА0.339.318ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т506Б1,аА0.339.318ТУ/Д2,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т509А,аА0.339.464ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т528А9 – Д9,АЕЯР.432140.199ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т602А, Б",И93.365.000ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т625А-2,Я53.365.022-03ТУ,135,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т625АМ-2, БМ-2",Я53.365.022-03ТУ,135,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т629А-5,"ЩЫ0.336.032ТУ, КСЕН.432143.032ТУ",135,80,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т629АМ-2,ЩЫ0.336.032ТУ,135,80,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т629АМ-2Н,"ЩЫ0.336.032ТУ, РМ 11091.926",135,80,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т630А, Б",ЮФ3.365.043ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т630А-5, Б-5",ЮФ3.365.043ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т632А,аА0.339.222ТУ,150,40,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т638А,аА0.339.078ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т653А, Б",аА0.339.307ТУ,150,40,С теплоотводом,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т653А, Б",аА0.339.307ТУ,150,25,Без теплоотвода,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т653А-5, Б-5",аА0.339.307ТУ,150,25,Без теплоотвода,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т663А, Б",аА0.339.515ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т664А-5, Б-5",аА0.339.559ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т664А9, Б9",аА0.339.559ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т665А-5, Б-5",аА0.339.559ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т665А9, Б9",аА0.339.559ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т679А-2, Б-2",аА0.339.620ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
"2Т679А-2Н, Б-2Н","аА0.339.620ТУ, РМ 11091.926",150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т689АС,аА0.339.758ТУ,160,55,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т690АС,аА0.339.759ТУ,160,55,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т693АС,АЕЯР.432140.064ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Средней мощности
2Т708А – В,аА0.339.143ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т709А – В,аА0.339.144ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т709А-5,аА0.339.144ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т709А2 – В2,аА0.339.628ТУ,100,25,Без теплоотвода,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т709А2-5,аА0.339.628ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т713А,аА0.339.492ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т716А – В,аА0.339.645ТУ,125,25,Без теплоотвода,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т716А-5 – В-5,аА0.339.645ТУ,125,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т716А1 – В1,аА0.339.628ТУ,100,25,Без теплоотвода,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т716А1-5 – В1-5,аА0.339.628ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
"2Т718А, Б",АЕЯР.432153.000ТУ,200,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т803А,ГЕ3.365.008ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т808А,ГЕ3.365.004ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т808А-2,аА0.339.376ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т809А,ГЕ3.365.017ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
"2Т812А, Б",аА0.339.193ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т812А-5,аА0.339.193ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т818А – В,аА0.339.141ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
"2Т818А2 – В2, А2-5",аА0.339.557ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т819А – В,аА0.339.142ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
"2Т819А2 – В2, А2-5",аА0.339.557ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т825А – В,аА0.339.054ТУ,175,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
"2Т825А2 – В2, А2-5",аА0.339.556ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
